,Age,identity_attack
670,21,7.547192217316478e-05
671,24,0.0001089196593966
672,32,0.0001043356314767
673,32,0.0001131018580053
675,32,6.956627476029098e-05
676,32,0.0002003115805564
681,49,8.500625699525699e-05
682,23,0.0001021318093989
686,39,6.90710949129425e-05
687,23,0.0001101923844544
690,40,8.426351269008592e-05
691,36,0.0002030545292655
693,34,0.0001584383280714
697,54,7.570206798845902e-05
698,34,0.0001115215709432
700,53,7.683144940529019e-05
710,45,0.0001063320887624
712,45,8.566286123823375e-05
714,40,8.292227721540257e-05
716,13,0.0002111335488734
734,40,7.280211139004678e-05
735,40,0.0001871885178843
737,55,0.0001274842652492
738,33,7.009193359408528e-05
740,33,6.835263047832996e-05
741,33,6.56481206533499e-05
742,33,7.329068466788158e-05
743,33,0.0001051083454512
744,26,0.0006670995499007
749,29,0.000141148790135
752,23,0.0002537522814236
755,24,9.121514449361712e-05
759,30,0.0014358630869537
760,26,0.0005565785686485
761,30,0.0007185958675108
762,30,0.0004564755654428
763,22,0.0539191588759422
764,30,0.0001705361792119
766,26,0.0005463712732307
767,32,0.0001581633114255
768,32,0.0002582362794782
769,26,0.0001009026018436
770,32,0.0006495870766229
777,26,0.0001123616311815
779,20,0.000128664978547
780,26,0.0001493927265983
781,20,0.0001980379893211
783,26,0.000108132015157
785,32,0.0001660066482145
787,61,0.0001023325457936
788,22,9.52749905991368e-05
790,32,0.0001697668340057
793,20,6.506395584437996e-05
797,20,5.729491385864094e-05
800,22,6.49841531412676e-05
807,43,0.0001306455378653
808,26,6.933136319275945e-05
809,23,8.171670197043568e-05
810,24,0.0306088365614414
811,21,0.0098096318542957
815,24,0.0076415808871388
816,26,0.0001103917893487
817,26,7.189583993749693e-05
821,23,0.0001648938196012
822,20,0.0008230970124714
824,52,9.705791308078916e-05
827,32,0.0001203981810249
828,32,0.0001058022098732
829,30,0.000328677939251
830,30,0.000718611292541
833,21,6.948943337192759e-05
834,25,0.000157457878231
835,30,0.0009137652814388
838,69,7.38906892365776e-05
839,30,0.0006967125227674
840,21,6.768861203454435e-05
842,69,0.0001270570792257
843,20,0.0011278571328148
844,32,0.0001453759032301
845,32,0.0001332981919404
847,30,0.0032523940317332
851,21,0.0001724021567497
852,21,8.759582851780578e-05
853,21,0.0004132101312279
855,21,0.0001270464272238
856,21,7.957286288728938e-05
858,40,0.0001048735721269
859,20,6.759082316420972e-05
860,31,7.3214054282289e-05
861,24,0.0184880550950765
863,40,9.15808486752212e-05
864,22,9.934722038451582e-05
866,40,0.0004734518006443
867,40,8.272285776911303e-05
868,40,9.02172178030014e-05
870,23,0.0020240335725247
874,34,0.0001514474715804
875,45,6.863421003799886e-05
876,20,6.068860238883644e-05
877,45,6.606172246392816e-05
879,45,0.000357596669346
880,45,7.010817353148013e-05
882,20,0.0021239584311842
884,61,0.0001042495132423
885,21,0.0005884587299078
886,20,6.18818448856473e-05
889,21,6.117307930253446e-05
890,21,0.0105867488309741
892,61,0.0001042495132423
896,54,6.781693082302809e-05
897,32,9.802477870834991e-05
898,32,9.14668635232374e-05
899,23,0.0001094030667445
900,32,0.0001408218522556
901,32,0.0001930168946273
902,46,6.302698602667078e-05
904,32,0.0001759450969984
905,32,0.0002203650219598
908,30,0.0228928048163652
916,40,8.050914766499773e-05
917,30,0.0001080124711734
919,69,7.884133810875937e-05
921,30,0.0002632624236866
922,39,8.073995559243485e-05
934,25,0.002167833270505
935,40,0.0001659821136854
936,40,0.0004117510979995
937,40,9.05470660654828e-05
938,29,9.964579658117144e-05
941,33,9.102762851398438e-05
946,26,0.000765583361499
947,24,8.075758523773402e-05
949,26,0.0001580179960001
955,24,0.0005953926010988
956,23,0.0001384069619234
960,31,0.0003901693562511
963,21,9.868619235930964e-05
967,30,0.0006184310186654
969,30,0.000622117309831
971,30,6.559467874467373e-05
972,30,6.511690298793837e-05
973,30,0.000133853915031
974,26,9.559650789014996e-05
975,30,0.0001692221849225
976,30,0.0001019941992126
977,20,0.0053137727081775
978,30,0.0001232343056472
979,30,8.797446207609028e-05
980,20,0.0002706047671381
981,30,0.0001017881222651
983,43,0.0001195313088828
984,30,0.0001368894299957
985,20,0.0002113726368406
989,33,0.0001038524278555
990,20,0.0001613525964785
992,33,8.218653238145635e-05
993,33,0.0001366023061564
996,61,6.907268107170239e-05
1003,20,0.074015274643898
1005,26,6.177153409225866e-05
1006,22,7.232127973111346e-05
1012,20,9.70510664046742e-05
1015,40,7.411736442008987e-05
1022,21,7.953546446515247e-05
1024,33,6.482854951173067e-05
1025,21,6.454664253396913e-05
1027,21,0.0001023579097818
1028,21,6.660127837676555e-05
1029,21,0.0031965964008122
1030,34,0.0001007357059279
1031,26,0.0001368320081382
1033,23,6.53111856081523e-05
1040,20,8.841818635119125e-05
1042,32,0.0001010212217806
1043,20,7.475278835045174e-05
1044,32,0.0001441967324353
1045,32,7.318452844629064e-05
1046,32,0.0001300841540796
1048,32,7.687101606279612e-05
1049,32,0.000124886559206
1050,46,9.183253132505342e-05
1052,45,0.0005739497137255
1053,20,0.0001355626591248
1054,32,9.788168244995175e-05
1055,26,0.0001199038088088
1056,32,0.0002415322232991
1057,45,0.0005459574167616
1058,45,8.08908516773954e-05
1059,45,0.0001756299898261
1060,20,9.716441127238797e-05
1061,36,8.382983651245013e-05
1064,36,8.604126196587458e-05
1066,36,0.0001155128484242
1068,36,0.0001037817419273
1070,36,9.601905185263604e-05
1072,57,0.0002136160619556
1073,32,0.000229338707868
1074,40,6.985497748246416e-05
1075,32,0.0001239642006112
1078,40,7.882547652116045e-05
1079,30,0.000201157934498
1080,40,7.051879219943658e-05
1081,40,7.228266622405499e-05
1082,30,0.0001291096268687
1083,30,0.0004765279300045
1084,30,0.0004675064701586
1085,30,0.0012204452650621
1086,52,0.0001714192912913
1092,22,7.441310299327597e-05
1093,30,0.0001591138570802
1094,49,0.0001510404981672
1095,30,6.456941628130153e-05
1096,24,0.0122912367805838
1097,30,0.0001598684757482
1098,30,8.445384446531534e-05
1100,69,0.0013953633606433
1101,40,9.141803457168862e-05
1102,24,0.0001675132371019
1104,23,0.0012996057048439
1105,21,0.000125308841234
1111,61,0.0048646624200046
1118,54,0.0001240143319591
1120,36,7.171712059061974e-05
1127,21,0.0001161489344667
1128,21,0.000103423721157
1129,41,7.090051076374948e-05
1130,21,0.0001169061870314
1131,21,0.0002377699129283
1132,22,8.857650391291827e-05
1133,21,0.0009709653677418
1135,24,0.000289821618935
1136,23,0.0005872739711776
1138,12,0.0001511041627964
1143,36,7.486564572900534e-05
1145,24,0.0373131595551967
1148,34,0.0003598523908294
1150,54,6.44581887172535e-05
1151,63,6.728535663569346e-05
1155,34,6.59180514048785e-05
1158,50,0.0001160460888058
1164,26,0.0002194556436734
1165,63,6.587048846995458e-05
1174,44,0.0008114455849863
1181,13,0.0011649493826553
1186,29,0.000109647247882
1198,25,7.666764577152207e-05
1200,26,0.0001674080122029
1201,31,0.0003630881546996
1206,45,7.403683412121609e-05
1208,30,0.0002321213250979
1209,46,7.893996371421963e-05
1210,30,0.0018532737158238
1211,30,0.0030581247992813
1212,30,0.0001355165295535
1213,30,8.847393473843113e-05
1214,30,9.68261665548198e-05
1215,30,0.000136299393489
1217,30,9.797067468753085e-05
1218,30,0.0001326372293988
1219,30,0.0014231706736609
1220,30,0.0009768053423613
1221,22,0.000148952633026
1222,20,0.0001081553200492
1223,30,0.0001800946192815
1225,30,0.0001314826222369
1226,20,0.0002392745082033
1227,22,6.188303086673841e-05
1233,36,8.681365579832345e-05
1234,36,0.0001747613277984
1235,20,0.0002225308999186
1236,20,0.0002402856771368
1237,22,0.0001007670289254
1239,30,0.0001197915844386
1242,22,0.0002985120518133
1243,20,5.641416282742284e-05
1251,20,0.0021187337115406
1252,22,0.0001071178558049
1254,30,0.0001809352543205
1257,30,0.0001196743323816
1258,21,0.0001052013030857
1262,45,0.0001229905901709
1263,45,6.916838901815936e-05
1264,40,8.80536827025935e-05
1266,40,9.230276191374288e-05
1267,40,0.0001004680598271
1268,21,8.495430665789172e-05
1274,40,7.106648990884423e-05
1276,45,0.0002352439041715
1277,40,6.087837755330838e-05
1278,36,0.0001163063134299
1279,36,0.0001036792673403
1280,36,6.083508560550399e-05
1282,40,0.0001071343940566
1283,26,6.166553794173524e-05
1285,26,7.74384243413806e-05
1287,40,7.848412496969104e-05
1288,26,7.123481918824837e-05
1290,32,0.0001636424858588
1291,26,6.077970829210244e-05
1292,32,0.0001296391128562
1293,40,8.398073987336829e-05
1296,23,0.0002079306723317
1297,26,0.0006965462234802
1299,21,6.435746036004275e-05
1300,24,8.772355795372277e-05
1301,30,0.0001097697459044
1302,30,0.0001523456157883
1304,30,0.0003459696599747
1305,30,7.880045450292528e-05
1308,26,6.323842535493895e-05
1310,23,8.908891322789714e-05
1311,39,0.0001001241398626
1312,22,5.370487633626908e-05
1313,21,0.0001783857296686
1314,21,8.027479634620249e-05
1315,21,0.0001093299579224
1319,21,0.0001015400339383
1320,21,0.0011435835622251
1322,46,0.0004300437285564
1323,21,0.0001131055323639
1325,34,7.473638834198937e-05
1329,23,0.0002532186335884
1330,31,0.0001572853216202
1331,31,0.0002810363657772
1333,30,6.556266453117132e-05
1334,30,6.491323438240215e-05
1335,30,7.852710405131802e-05
1336,25,0.0001186299559776
1337,31,0.0001625072181923
1338,26,0.0012951880926266
1342,23,0.0001561275857966
1344,20,0.0006687310524284
1345,30,8.034823986236006e-05
1349,30,7.256458047777414e-05
1352,30,9.655342728365211e-05
1354,61,0.0003406465402804
1356,30,0.0001227350730914
1357,36,7.05188576830551e-05
1358,30,7.899064075900242e-05
1361,45,0.0001516064075985
1363,24,7.843071216484532e-05
1364,20,6.852015940239653e-05
1365,32,0.0001064237876562
1367,32,0.0001498915662523
1369,32,0.000111239052785
1370,23,0.0004888211260549
1371,34,0.0002111244684783
1373,24,0.095453105866909
1375,32,0.0001526386040495
1377,39,0.0001066860349965
1380,39,0.0001100216613849
1381,32,0.0003457695420365
1383,32,0.0003136852174066
1385,36,6.24871754553169e-05
1386,32,0.000382261845516
1388,32,0.000124415862956
1389,32,0.0001342743635177
1392,32,0.0001000426345854
1401,23,0.0110033703967928
1405,12,0.0001111511519411
1409,21,0.0051697441376745
1410,21,7.84221847425215e-05
1412,21,0.0035153897479176
1413,21,7.978279609233141e-05
1415,21,0.0001301728771068
1417,21,8.785491081653163e-05
1421,30,0.0002212391264038
1423,30,0.0001790631358744
1424,30,9.612349094823004e-05
1425,54,7.035543967504054e-05
1426,45,6.43272724119015e-05
1428,23,0.0006484990008175
1431,46,7.288449705811217e-05
1432,44,9.208534902427346e-05
1435,25,8.673802949488163e-05
1437,13,0.0007203251007013
1448,40,0.0008467242005281
1457,26,0.0002277744933962
1458,26,6.988869427004829e-05
1462,22,0.0015791414771229
1463,45,7.032203575363383e-05
1465,45,0.0001151649630628
1466,45,0.0002083180297631
1468,30,0.0007756441482342
1470,45,0.0001346750650554
1472,46,0.0015323740663006
1475,36,8.859517402015626e-05
1476,36,8.480861288262531e-05
1477,36,9.854410018306226e-05
1478,36,0.0001191744086099
1479,36,0.0001037364272633
1480,21,0.0001097754065995
1481,22,7.738704152870923e-05
1482,31,0.0001351421669824
1483,30,0.000153531495016
1485,46,0.0007824588101357
1487,24,0.0001703357993392
1488,20,0.0008473363704979
1493,24,0.0001991385070141
1497,21,9.42411061259918e-05
1499,20,7.532768358942121e-05
1502,21,0.0002848056319635
1503,20,0.000245005270699
1504,21,0.0004370085080154
1505,21,0.0001772840623743
1506,21,0.0001026167083182
1507,20,9.407445759279652e-05
1509,20,7.435947918565944e-05
1520,22,7.412110426230356e-05
1521,61,7.650493353139609e-05
1522,46,7.796866702847183e-05
1523,61,0.0001219339101226
1524,19,8.57465565786697e-05
1525,61,0.0001323219184996
1526,36,0.0001254054222954
1531,26,0.0003697205393109
1534,21,7.013846334302798e-05
1542,22,0.0003460697771515
1543,34,6.669845606666058e-05
1544,52,0.0002513988292776
1547,21,8.170953515218571e-05
1548,21,0.0004584553535096
1549,21,0.0001836283190641
1550,21,0.0007825586944818
1551,61,8.366636757273227e-05
1552,25,0.0006522001931443
1553,49,0.0005770119605585
1555,25,0.0002632531395647
1560,30,0.0001662448921706
1561,30,0.0001212277493323
1562,30,7.702981383772567e-05
1563,30,0.0001374504063278
1564,40,0.0001960113731911
1565,21,6.497454887721688e-05
1566,40,0.0001352303370367
1567,30,0.0004241646674927
1568,34,7.007080421317369e-05
1569,30,0.0002598448190838
1571,30,7.57898305892013e-05
1573,20,6.278571527218446e-05
1577,30,0.0001778419391484
1581,23,0.0006511130486615
1582,21,0.0018901214934885
1585,42,0.0001668178010731
1586,20,0.0009541988256387
1587,21,0.0002676942967809
1589,21,0.0022986324038356
1594,38,0.0013809405500069
1600,20,0.0003291734028607
1601,23,0.0121141653507947
1603,12,7.548372377641499e-05
1606,23,0.0004578884690999
1607,23,0.0003403201408218
1611,21,7.876709423726425e-05
1615,23,0.0001085182375391
1621,23,8.298136526718736e-05
1622,54,7.456597086274996e-05
1624,34,8.886119030648842e-05
1632,34,0.000545818998944
1633,63,9.660565410740674e-05
1636,25,0.000387930922443
1637,39,0.0002461849653627
1641,13,0.0001655319938436
1666,40,0.0001520101213827
1667,40,0.0001388950768159
1668,26,7.911676948424429e-05
1677,55,0.2417966574430465
1687,36,7.398115121759474e-05
1688,36,7.784512126818299e-05
1702,31,0.0008692464325577
1711,33,8.66986665641889e-05
1713,40,0.0021724116522818
1714,26,0.0016506575047969
1715,33,0.0001775124110281
1717,33,0.0001220003177877
1718,33,0.000195129745407
1719,33,9.021653386298568e-05
1721,29,0.0001049277925631
1722,45,6.169294647406787e-05
1723,30,0.0001072235245374
1724,22,6.453075911849737e-05
1725,30,0.000104818282125
1728,30,0.0001338226429652
1729,44,9.645505633670835e-05
1730,44,7.412231207126752e-05
1732,30,7.520208600908518e-05
1733,30,0.0001933434687089
1734,30,0.0001674349914537
1735,40,0.0001140933381975
1736,22,0.0001017183531075
1737,46,0.0001177572776214
1739,53,0.000286948197754
1741,53,0.000119167358207
1743,44,8.01897986093536e-05
1744,40,0.0001462691288907
1746,40,0.0001238138211192
1748,45,6.94601476425305e-05
1749,45,0.0003183605149388
1752,21,0.0001146874783444
1753,21,5.8092380641028285e-05
1754,21,0.0002312245196662
1755,45,5.907386730541475e-05
1756,45,7.153311162255704e-05
1758,21,8.615003753220662e-05
1760,24,0.0001277627161471
1762,20,0.0008311649435199
1763,45,7.531202572863549e-05
1765,52,0.0001681282010395
1769,20,0.0002959599369205
1770,44,0.0009536802535876
1771,22,0.0072964509017765
1773,44,7.574250776087865e-05
1776,49,0.0001268089690711
1777,20,0.0007600145763717
1778,61,0.0019520741188898
1779,25,0.0154407732188701
1780,26,6.919609586475417e-05
1781,69,0.0003511388495098
1782,40,9.570633847033604e-05
1785,20,0.0001312762906309
1787,20,7.876213931012899e-05
1788,30,0.0001147493967437
1789,23,0.0001845350634539
1790,30,0.0001584720303071
1791,33,0.0001016064852592
1793,21,6.68162974761799e-05
1794,21,0.00018110802921
1796,30,9.032844536704944e-05
1797,61,0.00180332607124
1798,54,0.0001448255061404
1799,30,0.0001307681814068
1800,26,0.0001345863565802
1804,56,7.732817903161049e-05
1805,34,6.75108894938603e-05
1808,22,7.794599514454603e-05
1812,54,7.516652112826705e-05
1815,36,0.0002119863784173
1821,12,0.0001701045111985
1824,44,8.945948502514511e-05
1825,26,0.0024882797151803
1826,44,7.736698171356693e-05
1829,69,0.0001380167232127
1830,34,8.528776379534975e-05
1831,25,8.781153155723587e-05
1832,54,7.307504711207002e-05
1833,20,7.468950934708118e-05
1851,13,0.0001760674495017
1866,40,0.0030031949281692
1867,40,0.0002858630323316
1874,24,0.0001349165831925
1878,26,0.003959662746638
1879,31,7.127532444428653e-05
1881,22,0.0003347665187902
1882,22,0.0003347665187902
1885,29,0.0007395221618935
1887,20,7.184210699051619e-05
1888,36,6.252830644370988e-05
1889,36,6.911919626872987e-05
1890,36,0.0007164484704844
1891,36,0.0001623552816454
1892,33,7.989067671587691e-05
1893,26,9.483934991294518e-05
1894,33,0.0001060585782397
1897,26,0.0001140056774602
1899,21,7.704494782956317e-05
1900,33,7.36009533284232e-05
1901,33,9.780574328033254e-05
1904,33,0.0001682627480477
1909,40,0.0001794382988009
1910,40,9.66405714279972e-05
1911,40,0.0001204552536364
1914,40,8.382808300666511e-05
1915,21,8.465137943858281e-05
1917,21,0.0737914592027664
1918,21,8.106405584840104e-05
1920,40,7.585707498947158e-05
1921,20,0.0005241150502115
1922,23,0.0003985544899478
1931,45,0.0144752273336052
1932,36,0.0009041124139912
1933,45,0.0001547235297039
1935,20,7.59681934141554e-05
1938,20,0.0135310664772987
1943,21,0.0008731234120205
1944,20,7.130373705876991e-05
1946,34,7.531396840931848e-05
1947,63,7.775439007673413e-05
1948,63,7.070760329952464e-05
1949,33,0.0001159500752692
1950,63,6.633164593949914e-05
1951,33,9.667190897744148e-05
1957,24,0.0001751122908899
1962,24,7.027423998806626e-05
1965,26,0.0001655783999012
1966,21,7.20891694072634e-05
1967,23,0.0020135084632784
1968,12,9.874210081761704e-05
1975,34,0.0001345894415862
1976,54,0.0002302361244801
1977,46,0.0002152822853531
1979,20,6.57045457046479e-05
1982,52,9.470794611843304e-05
1986,40,7.163687405409291e-05
1988,23,0.0003506743523757
1989,30,7.71619234001264e-05
1991,30,0.0001868019608082
1993,21,0.0002724173245951
1995,20,7.512130832765251e-05
1996,30,0.0001220686244778
1998,30,9.408145706402138e-05
2000,30,0.000103218400909
2001,30,0.0001148986411863
2003,30,8.791483560344204e-05
2004,61,0.0003899845469277
2005,69,0.003583837300539
2006,44,0.0001219822806888
2007,21,0.0001660302368691
2008,45,0.0001121349414461
2009,21,7.701394497416914e-05
2010,45,0.0001567902800161
2011,20,7.861581252655014e-05
2012,20,9.376154048368336e-05
2018,26,0.002211024519056
2019,24,0.0001597747614141
2021,25,6.919213774381205e-05
2022,31,7.77195455157198e-05
2023,13,0.0006464186008088
2024,34,0.000247298652539
2026,54,6.783743447158486e-05
2028,16,9.48541855905205e-05
2031,26,6.932330143172294e-05
2035,36,7.159938104450703e-05
2059,31,0.0077578900381922
2061,31,0.0077578900381922
2063,20,5.4841813835082576e-05
2065,55,0.0002766103425528
2069,26,0.0008253299165517
2073,22,0.0311750192195177
2091,36,7.624114368809387e-05
2092,36,7.066379475872964e-05
2093,36,0.0001063663730747
2094,36,6.412369111785665e-05
2095,36,7.791708776494488e-05
2097,22,9.1754540335387e-05
2100,44,0.0002062865241896
2101,60,0.0004395122232381
2102,44,0.0001222691062139
2103,30,0.0001133631594711
2104,44,7.660363189643249e-05
2105,30,0.0001244996528839
2106,20,0.0001910973951453
2107,34,6.614826997974887e-05
2108,30,7.79861438786611e-05
2109,20,0.0001066369222826
2110,20,0.0002440226380713
2112,33,0.0001153940538642
2113,33,0.0001189829636132
2118,40,8.12230646261014e-05
2119,40,0.0001196122611872
2120,40,0.0001023464938043
2121,40,0.0002055169316008
2122,40,8.578392589697614e-05
2123,24,0.0001788974186638
2125,40,8.991730283014476e-05
2126,21,0.001029449282214
2127,43,0.0001834414142649
2128,33,8.914695354178548e-05
2129,33,6.251370359677821e-05
2131,21,0.001185389352031
2133,23,6.391295028151944e-05
2135,22,6.526050856336951e-05
2137,20,0.0001527677522972
2138,30,0.0007878641481511
2139,30,0.000363396218745
2140,30,0.0001896539324661
2141,20,7.452743739122525e-05
2142,20,0.0008030074532143
2144,20,0.0005971273058094
2146,33,8.182945748558268e-05
2147,33,7.632167398696765e-05
2148,20,6.411127833416685e-05
2149,20,6.435267277993262e-05
2150,20,6.360705447150394e-05
2152,34,7.289839413715526e-05
2158,34,0.000167787875398
2159,45,0.0128658674657344
2160,20,0.0001088103454094
2161,21,0.0018099767621606
2163,39,6.346133886836469e-05
2164,21,0.0001021310381474
2165,21,0.0006792739150114
2166,21,0.0021275884937494
2167,21,0.0002359933423576
2169,47,9.253753523807973e-05
2171,22,6.569302058778703e-05
2174,21,0.0006422406877391
2175,61,0.0001102575624827
2177,26,7.353907858487219e-05
2179,61,0.0099615138024091
2182,40,6.234349712030962e-05
2187,33,9.080352174350992e-05
2195,31,0.0001368732337141
